person_id,label,name_key,highest_rank,n_mentions,years_present,n_waves,name_variants
P00307,EI-Tould1y Hassan Ahmed,ei tuldi hasan ahmed,,2,1938,1,EI-Tould1y Hassan Ahmed
P00308,EI-Toukhy Mohamed Ahmed,ei tukhi moamed ahmed,,1,1938,1,EI-Toukhy Mohamed Ahmed
P00309,El-Toul hy Taha Ahmed,tul hi ta ahmed,,1,1938,1,El-Toul hy Taha Ahmed
P00310,El Zayat,zaiat,,1,1938,1,El Zayat
P00311,Empain M. le Bar-on Jean,empain l bar on gean,,2,1938,1,Empain M. le Bar-on Jean
P00312,Empain Baron Louis,empain l baron luis,,3,1938;1947;1950,3,Empain Baron Louis | Empain M. le Baron Louis
P00313,Empedocles Gregory,empedokles gregori,,2,1938;1950,2,Empedocles Gregory
P00314,Epaulat·d P,epaulatd,,2,1938,1,Epaulat·d P
P00315,Erfan Mohamed,fan moamed,bey,3,1938;1947;1950,3,El'fan Mohamed | Erfan Mohamed
P00316,El'l'era Isaac,era isak,,3,1938;1942,2,El'l'era Isaac | Errera Isaac
P00317,Bassal,basal,,1,1938,1,Bassal
P00318,El Borollos,borolos,,2,1938,1,El Borollos
P00319,Eslabt•ool{ Edward Lewis,eslabtol eduard leuis,,1,1938,1,Eslabt•ool{ Edward Lewis
P00320,Eugenicli E,eugenikli,,1,1938,1,Eugenicli E
P00321,Eves II. B. Heath,eves i heath,,1,1938,1,Eves II. B. Heath
P00322,Exbrayal,exbraial,,3,1938,1,Exbrayal
P00323,Ezri Emmanuel,ezri emanuel,,2,1938,1,Ezri Emmanuel
P00324,Fahmi Gallini l~acha,fahmi galini lasha,,2,1938,1,Fahmi Gallini l~acha
P00325,Faklll'i Mahmoud,fakl mahmud,pasha,1,1938,1,Faklll'i Mahmoud
P00326,Fannc•· William Rogm·s,fank uiliam rogms,,1,1938,1,Fannc•· William Rogm·s
P00327,Fa•·ahat Vila,fat vila,,1,1938,1,Fa•·ahat Vila
P00328,Fat·ghaly,fatghali,,4,1938,1,Fat·ghaly
P00329,Fcndcl'l Hugo,fkndkl hugo,,1,1938,1,Fcndcl'l Hugo
P00330,Fcn·o J. H,fkno,,1,1938,1,Fcn·o J. H
P00331,"Feyel""ick Jacques",feielik gakues,,3,1938;1947;1950,3,"Feyel""ick Jacques | Feyerick Jacques | Feyerlick Jacques"
P00332,F1·asm· William,fasm uiliam,,1,1938,1,F1·asm· William
P00333,Garboua Emile,gabua emil,,3,1938;1942;1950,3,Ga1·boua Emile | Garboua Emile
P00334,Ga•·nou•· Gab!'icl,ganu gab ikl,,1,1938,1,Ga•·nou•· Gab!'icl
P00335,Gclal'Ciin Jacques,gklal sin gakues,,1,1938,1,Gclal'Ciin Jacques
P00336,Gr·ego Oscal',grego oskal,,1,1938,1,Gr·ego Oscal'
P00337,Gautier Charles,gautier sharles,,2,1938;1947,2,Gautier Charles
P00338,Geisenberget· Piene,geisenberget pien,,1,1938,1,Geisenberget· Piene
P00339,Ghali Youssef Boutros,ghali iusef butros,bey,1,1938,1,Ghali Youssef Boutros
P00340,Ghazi Mahrous Mohamed,ghazi mahtus moamed,,3,1938;1942;1947,3,Ghazi Mahrous Mohamed | Ghazi Maht·ous Mohamed
P00341,Ghazi Moustapha Ramet,ghazi mustafa ramet,,5,1938,1,Ghazi Moustapha Ramet
P00342,Godbcr· Fr·cdcricl<,godbkr frkdkrikl,,1,1938,1,Godbcr· Fr·cdcricl<
P00343,Golding Chal'lcs Mc,golding shal lks mk,,1,1938,1,Golding Chal'lcs Mc
P00344,Goulène G,gulen,,1,1938,1,Goulène G
P00345,Grassi Gr. Uff. Carlo,grasi gr uf karlo,,2,1938,1,Grassi Gr. Uff. Carlo
P00346,Grassi. Stanislas,grasi stanislas,,1,1938,1,Grassi. Stanislas
P00347,Gt·assi Ugo Oott,gtasi ugo ot,,1,1938,1,Gt·assi Ugo Oott
P00348,Gt·asso Oscar· Rag,gtaso oskar rag,,2,1938;1942,2,Grasso Oscar Rag | Gt·asso Oscar· Rag
P00349,Gt·eenhalgh Thomas,gtenhalgh thomas,,1,1938,1,Gt·eenhalgh Thomas
P00350,Gt·egusci G,gtegusi,,1,1938,1,Gt·egusci G
P00351,Gdmpt·el Maui'Ïce,gdmptel maui is,,4,1938,1,Gdmpt·el Maui'Ïce
P00352,Groppi J,gropi,,7,1938;1942;1947;1950,4,Groppi A | Groppi J
P00353,Gueziri Ot·,gueziri ot,,1,1938,1,Gueziri Ot·
P00354,Guirguis Elias,guitguis elias,,6,1938;1942;1947;1950,4,Guirguis Elias | Guit·guis Elias
P00355,Guirguis NassH EH,guirguis nash eh,,1,1938,1,Guirguis NassH EH
P00356,Ginsberg Richard,guisberg rishard,,3,1938;1947;1950,3,Ginsberg Richard | Guisberg Richar·d
P00357,Hahnlose•· 0•·. Emile,hahnlos emil,,3,1938,1,Hahnlose•· 0•·. Emile
P00358,Halim Mot·aan EH,halim motan eh,,2,1938,1,Halim Mot·aan EH
P00359,Hanan Victot,hanan viktot,,3,1938,1,Hanan Victot
P00360,Hanna Mina,hana mina,,3,1938;1947;1950,3,Hanna Mina
P00361,Sir Harat•i Victot·,sir harati viktot,pasha,4,1938,1,Sir Harat•i Victot·
P00362,Harb Mohamed Talaat,harb moamed talat,pasha,9,1938,1,Harb Mohamed Talaat
P00363,Jlare Commander F. T,glar komander,,1,1938,1,Jlare Commander F. T
P00364,Ilarmant Eugène,ilarmant eugen,,1,1938,1,Ilarmant Eugène
P00365,Hasda A,hasda,,2,1938,1,Hasda A
P00366,Misr Concrete Developmcnt Cy,misr konkret developmknt si,,1,1938,1,Misr Concrete Developmcnt Cy
P00367,Société Egyptienne des Industries Chimiques,sosiet egiptien des industries shimikues,,1,1938,1,Société Egyptienne des Industries Chimiques
P00368,Ilegener Th. M,ilegener th,,1,1938,1,Ilegener Th. M
P00369,Helier Edouard de~,helier eduard d,,1,1938,1,Helier Edouard de~
P00370,Henkart Raoul,henkart raul,,1,1938,1,Henkart Raoul
P00371,Ililal Léonidas Gamil,ililal leonidas gamil,,1,1938,1,Ililal Léonidas Gamil
P00372,Ililali Ahmecl Naguib,ililali ahmekl naguib,bey,1,1938,1,Ililali Ahmecl Naguib
P00373,Ilit·sh Siegmund,ilitsh siegmund,,1,1938,1,Ilit·sh Siegmund
P00374,Jlochart Mam·ice,gloshart mamis,,1,1938,1,Jlochart Mam·ice
P00375,Hoet·ni Robm·t,hoetni robmt,,1,1938,1,Hoet·ni Robm·t
P00376,Home Sit· John Ba1·t,hom sit gohn bat,,4,1938,1,Home Sit· John Ba1·t
P00377,Horne F. J,horn,,5,1938;1942;1947,3,Horne | Horne F. J
P00378,Société Egyptienne de Constructions,sosiet egiptien konstruktions,,7,1938,1,Société Egyptienne de Constructions
P00379,Izzet Abdullah,izet abdulah,,4,1938,1,Izzet Abdullah
P00380,Jacot-Descombcs J.G,gakot deskombks,,1,1938,1,Jacot-Descombcs J.G
P00381,K:-u·am Edouanl,k uam eduanl,,3,1938,1,K:-u·am Edouanl
P00382,Kennedy Geor·ge Er·nest,kenedi georg ernest,,2,1938;1942,2,Kennedy George Ernest | Kennedy Geor·ge Er·nest
P00383,J Jmil'i Hassan,gmil hasan,bey,1,1938,1,J Jmil'i Hassan
P00384,IHoul'i Joseph,iul gosef,,1,1938,1,IHoul'i Joseph
P00385,Kfomi Philippe,kfomi filip,,1,1938,1,Kfomi Philippe
P00386,Kfomi Michel,kfomi mishel,,1,1938,1,Kfomi Michel
P00387,Khalil Mohamed Mahmoud,khalil moamekl mahmud,bey,36,1938;1942;1947;1950,4,Khalil Mohamecl Mahmoud | Khalil Mohamed Mahmoud
P00388,Kii'J{man Robert,ki gman robert,,1,1938,1,Kii'J{man Robert
P00389,Koch Gaspat·,kosh gaspat,,1,1938,1,Koch Gaspat·
P00390,Portland Tourah,portland turah,,2,1938,1,Portland Tourah
P00391,Lagoudalds Constantin J,lagudalds konstantin,,2,1938,1,Lagoudalds Constantin J
P00392,LaheiTèt·c L,laeitetk,,2,1938,1,LaheiTèt·c L
P00393,Lambert Florent Casimir,lambert florent kasimir,,1,1938,1,Lambert Florent Casimir
P00394,Lancker Fr. De,lanker fr,,1,1938,1,Lancker Fr. De
P00395,Lappas Georges,lapas georges,,3,1938;1947;1950,3,Lappas Georges
P00396,Larsen Gunnat·,larsen gunat,,1,1938,1,Larsen Gunnat·
P00397,Lebon Mat•cel,lebon matsel,,2,1938,1,Lebon Mat•cel
P00398,Lecluse Valère,leklus valer,,1,1938,1,Lecluse Valère
P00399,Lee Lee Roger Malcolm,l l roger malkolm,,3,1938;1947;1950,3,Lee Lee Roger Malcolm
P00400,Lees Sir William Clare,les sir uiliam klar,,2,1938;1950,2,Lees Sir William Clare
P00401,Lemarquis J,lemarkuis,,3,1938;1942,2,Lemarquis J
P00402,Leten Roland,leten roland,,3,1938;1947;1950,3,Leten Roland | Roland
P00403,Levi 1. G,levi,,10,1938;1942;1950,3,Levi | Levi 1. G
P00404,Levi Nellos A,levi nelos,,2,1938;1950,2,Levi Nellos A
P00405,Levi RoU,levi ru,,1,1938,1,Levi RoU
P00406,Lhomme L,lhom,,2,1938,1,Lhomme L
P00407,Lloyd John Evans,loid gohn evans,,3,1938;1942,2,Lloyd John Evans
P00408,Lloyd John E,loid gohn,,3,1938;1947,2,Lloyd John | Lloyd John E
P00409,Lomba•·cl Albert,lombakl albert,,1,1938,1,Lomba•·cl Albert
P00410,Lombat·do Cesat·e,lombatdo sesat,,1,1938,1,Lombat·do Cesat·e
P00411,Lombardo Hugo,lombardo hugo,,6,1938;1942,2,Lombardo Hugo
P00412,Losco Bernat•d,losko bernatd,,1,1938,1,Losco Bernat•d
P00413,Lozy Tahet· El,lozi taet,bey,2,1938,1,Lozy Tahet· El
P00414,Luce,lus,,2,1938,1,Luce
P00415,Lumbroso J,lumbroso,,7,1938;1942;1947;1950,4,Lumbroso | Lumbroso J | Lumbroso M
P00416,Luml l'oso M,luml oso,,1,1938,1,Luml l'oso M
P00417,MacCuloch Norman G,makulosh norman,,1,1938,1,MacCuloch Norman G
P00418,Mac Ewen William G,mak euen uiliam,,3,1938;1942;1947,3,Mac Ewen William G
P00419,Maggiar Anch·é 0,magiar ansh,,1,1938,1,Maggiar Anch·é 0
P00420,Maher DL·. Ahmed,maer dl ahmed,,2,1938,1,Maher DL·. Ahmed
P00421,Mahfouz Hassan,mahfuz hasan,,1,1938,1,Mahfouz Hassan
P00422,Mahmoud Zald,mahmud zald,bey,1,1938,1,Mahmoud Zald
P00423,Maksucl Emile,maksukl emil,,1,1938,1,Maksucl Emile
P00424,Malatesta Me Tt·istan,malatesta m tistan,,1,1938,1,Malatesta Me Tt·istan
P00425,Mallet Charles,malet sharles,,1,1938,1,Mallet Charles
P00426,Malone Peter,malon peter,,3,1938;1942;1950,3,Malone Peter
P00427,Mai·chal H,maishal,,1,1938,1,Mai·chal H
P00428,Et:yptienne des Pétroles COGEP,etiptien des petroles kogep,,3,1938,1,Et:yptienne des Pétroles COGEP
P00429,Ciment Portland Tourah,siment portland turah,,1,1938,1,Ciment Portland Tourah
P00430,MasUl'el Andr·é Follet,masul andr folet,,2,1938,1,MasUl'el Andr·é Follet
P00431,Matalon William,matalon uiliam,,4,1938;1947,2,Matalon William | Matalon ·william
P00432,Matecf Matey R,matekf matei,,1,1938,1,Matecf Matey R
P00433,Matossian Joseph O,matosian gosef,,4,1938;1947;1950,3,Matossian Joseph O
P00434,Matossian Vincent O,matosian vinsent,,4,1938;1947;1950,3,Matossian Vincent | Matossian Vincent O
P00435,Matsa Constantin A,matsa konstantin,,1,1938,1,Matsa Constantin A
P00436,Maughfling J,maughfling,,1,1938,1,Maughfling J
P00437,Mavro Mike,mavro mik,,11,1938;1947;1950,3,Mavro Mike | Mavro Miké
P00438,Mazin L. A. Ing,mazin ing,,1,1938,1,Mazin L. A. Ing
P00439,Medici Del Vascello Le Marquis Luigi,medisi vaselo l markuis luigi,,1,1938,1,Medici Del Vascello Le Marquis Luigi
P00440,Peel Col. E. T,mel kali luigi kol,,8,1938;1947;1950,3,Cole | Cole T. R | Fryett Roland Théodore Lt. Col | Mel'Calli Luigi Col | Peel Col. E. T | Samson Col. A.O
P00441,Messiqua Marcel,mesikua marsel,,9,1938;1942;1947,3,Messiqua Marcel
P00442,Metwalli Mohamed,metuali moamed,bey,4,1938;1947,2,Metwalli Mohamed
P00443,Michell F. W,mishel,,1,1938,1,Michell F. W
P00444,Michriki Youssef,mishriki iusef,bey,1,1938,1,Michriki Youssef
P00445,Millet· A,milet,,2,1938,1,Millet· A
P00446,Mills A. E,mils,,8,1938;1947;1950,3,Mills A. E | Mills A.E | Mills F
P00447,Misrahi Albert,misrai albert,,10,1938;1942;1947;1950,4,Misrahi Albert
P00448,Misrahi Isaac J,misrai isak,,7,1938;1950,2,Misrahi Isaac J
P00449,Mitarachi Th,mitarashi th,,6,1938;1942,2,Mitarachi Th
P00450,Mobel'ly Cha1·le~ Hem·y Dowarcl,mobel li shal hemi duarkl,,1,1938,1,Mobel'ly Cha1·le~ Hem·y Dowarcl
P00451,Mohamccl Abbas Rachid,moamkl abas rashid,,2,1938;1950,2,Mohamccl Abbas Rachid | Rachid
P00452,Mohamcd Fouad,moamkd fuad,,2,1938,1,Mohamcd Fouad
P00453,Monchicourt Ancll'é P,monshikurt ankl,,1,1938,1,Monchicourt Ancll'é P
P00454,Monnerat E,monerat,,4,1938;1942,2,Monnerat E
P00455,Montaner,montaner,,1,1938,1,Montaner
P00456,Morch O. V,morsh,,1,1938,1,Morch O. V
P00457,MOI·dan James,moidan games,,1,1938,1,MOI·dan James
P00458,Moreau E,moreau,,3,1938;1942,2,Moreau E
P00459,Moriatti Georues,moriati georues,,1,1938,1,Moriatti Georues
P00460,M01·pm·go Gustavo,mpmgo gustavo,,1,1938,1,M01·pm·go Gustavo
P00461,Morton James Het·bei·t,morton games hetbeit,,1,1938,1,Morton James Het·bei·t
P00462,Mossél'i AlbCI't Vita,mosel albsi vita,,1,1938,1,Mossél'i AlbCI't Vita
P00463,Film,film,,3,1938;1942;1950,3,Film | Film»
P00464,Portland Tourab,portland turab,,2,1938,1,Portland Tourab
P00465,Mosséri FéHx N,moseri fehx,,1,1938,1,Mosséri FéHx N
P00466,Mossél'i,mosel,,3,1938,1,Mossél'i
P00467,Mosseri Joseph Vita,moseri gosef vita,,7,1938;1942;1947;1950,4,Mosseri Joseph Vita | Mosséri Joseph Vita
P00468,Egyptienne de Tuyaux,egiptien tuiaux,,4,1938,1,Egyptienne de Tuyaux
P00469,Moucbly Cécile,mukbli sesil,,1,1938,1,Moucbly Cécile
P00470,Moucbly Max,mukbli max,,1,1938,1,Moucbly Max
P00471,Mou1·atiadi C. M,muatiadi,,4,1938,1,Mou1·atiadi C. M
P00472,Mullet Georges,mulet georges,,6,1938,1,Mullet Georges
P00473,MUI·at E,muiat,,1,1938,1,MUI·at E
P00474,Nacamuli Albcl'l,nakamuli albkl,,1,1938,1,Nacamuli Albcl'l
P00475,Nacamuli Isaac E. Comm,nakamuli isak kom,,2,1938,1,Nacamuli Isaac E. Comm
P00476,Nachaty Youssef Dr,nashati iusef dr,,2,1938;1950,2,Nachati Youssef Dr | Nachaty Youssef Dr
P00477,Nahas Michel,nas mishel,,3,1938;1947;1950,3,Nabas Michel | Nahas Michel
P00478,Nahas Robert,nas robert,,3,1938;1947;1950,3,Nabas Robert | Nahas Robert
P00479,Nahman Armand V,nahman armand,,6,1938;1950,2,Nahman Armand V
P00480,Nahmias Salomon,nahmias salomon,,1,1938,1,Nahmias Salomon
P00481,Napier Sir ' Joseph W. L,napier sir gosef,,1,1938,1,Napier Sir ' Joseph W. L
P00482,Nelson George,nelson georg,,1,1938,1,Nelson George
P00483,Neuflize Baron de,neufliz baron,,3,1938,1,Neuflize Baron de
P00484,Nichols D,nishols,,7,1938;1942;1947;1950,4,Nichols D | Ni·chols D
P00485,NicoloU Assen,nikolu asen,,1,1938,1,NicoloU Assen
P00486,NicoloH Ivan,nikoloh ivan,,1,1938,1,NicoloH Ivan
P00487,Nogara G1·. Cord. Ing. Bei·nardino,nogara g kord ing beinardino,,1,1938,1,Nogara G1·. Cord. Ing. Bei·nardino
P00488,Nubar Zarch,nubar zarsh,bey,2,1938,1,Nubar Zarch
P00489,Nyegaa1·d A,niegad,,1,1938,1,Nyegaa1·d A
P00490,Orsi Carlo,orsi karlo,,1,1938,1,Orsi Carlo
P00491,Pace UmbCI·to Mc,pas umbsito mk,,1,1938,1,Pace UmbCI·to Mc
P00492,Passardi Renato Ha!J,pasardi renato hag,,1,1938,1,Passardi Renato Ha!J
P00493,Pathy Polnaue1· EI·nst,pathi polnau einst,,1,1938,1,Pathy Polnaue1· EI·nst
P00494,J>athy Polnaucr· Georges,gathi polnaukr georges,,3,1938,1,J>athy Polnaucr· Georges
P00495,Palhy Polnaucr Ladislas,palhi polnaukr ladislas,,1,1938,1,Palhy Polnaucr Ladislas
P00496,Commerce,komers,,4,1938,1,Commerce
P00497,Pclcl' Louis Comm. ln!J,pklkl luis kom lng,,1,1938,1,Pclcl' Louis Comm. ln!J
P00498,Pilavachi Constantin G,pilavashi konstantin,,3,1938,1,Pilavachi Constantin G
P00499,Pinto Cav. Attilio,pinto kav atilio,,7,1938;1950,2,Pinto Attilio | Pinto Cav. Attilio
P00500,Pinto,pinto,,5,1938;1950,2,Pinto
P00501,Pinto Cav. Ezio,pinto kav ezio,,7,1938;1947,2,Pinto Cav. Ezio | Pinto Ezio
P00502,Egypt Ginning Co,egipt gining ko,,5,1938,1,Egypt Ginning Co
P00503,Pollet Raymond,polet raimond,,3,1938;1947;1950,3,Pollet Raymond
P00504,Pollet Robe1·t,polet robet,,2,1938,1,Pollet Robe1·t
P00505,"Pontremoli Maul""ice B",pontremoli maulis,,1,1938,1,"Pontremoli Maul""ice B"
P00506,Pontremoli Rachel Mme. Vve. B,pontremoli rashel m v,,2,1938;1942,2,Pontremoli Rachel Mme. Vve | Pontremoli Rachel Mme. Vve. B
P00507,Raemy Bemai'CI de,raemi bemai si,,2,1938,1,Raemy Bemai'CI de
P00508,Ragheb Hanna,ragheb hana,bey,5,1938;1942;1947;1950,4,Ragheb Hanna
P00509,Ralli Alexandre,rali alexandr,,2,1938;1942,2,Ralli Alexandre
P00510,Ramlot Paul,ramlot paul,,3,1938;1947;1950,3,Ramlot Paul
P00511,Razeti Aldo,razeti aldo,,1,1938,1,Razeti Aldo
P00512,Reinha1·t P. J1·,reinhat g,,1,1938,1,Reinha1·t P. J1·
P00513,Remaugé,remaug,,1,1938,1,Remaugé
P00514,Richès Jacques,rishes gakues,,1,1938,1,Richès Jacques
P00515,Land Co,land ko,,8,1938;1950,2,Land & Buildings Co | Land Co
P00516,Hodocanachi Th,hodokanashi th,,1,1938,1,Hodocanachi Th
P00517,Holin Léon,holin leon,,7,1938,1,Holin Léon
P00518,Holo,holo,,1,1938,1,Holo
P00519,Uolo Max,uolo max,,1,1938,1,Uolo Max
P00520,Hom Fl'ançois,hom fl ankois,,5,1938,1,Hom Fl'ançois
P00521,ArLz Stores,arlz stores,,1,1938,1,ArLz Stores
P00522,Houchdy Mohamed,hushdi moamed,bey,1,1938,1,Houchdy Mohamed
P00523,Howlall Sir F. T,hulal sir,,1,1938,1,Howlall Sir F. T
P00524,Hui'ïini Dott. Rag. Tito,hui ini dot rag tito,,4,1938,1,Hui'ïini Dott. Rag. Tito
P00525,Rutimeycr R. L,rutimeikr,,1,1938,1,Rutimeycr R. L
P00526,Saab Comte Aziz de,siah komt aziz,,3,1938;1950,2,Saab Comte Aziz de | Siiah Comte Aziz de
P00527,Saab Comte Sélim de,sab koml selim,,3,1938;1947;1950,3,Saab Comle Sélim de _ | Saab Comte Sélim de
P00528,Sabri Yacoub,sari iakub,bey,3,1938;1947;1950,3,Sa_!:>ri Yacoub | Sabri Yacoub
P00529,Sabry Chérif,sabri sherif,pasha,17,1938;1947;1950,3,Sabry Chérif
P00530,Sabry Hussein,sabri husein,pasha,48,1938;1942;1947;1950,4,Abdel Moneim Abou Hussein | Aboul Fath Hussein | Baba El Dine Hussein | Fahmy Hussein | Galal Bey Hussein | Heykal Mohamed Hussein | Hussein | Mohamed Fahmy Hussein | Mohamed Younes el Hussein | Sabry Hussein | Sabr·y Hussein | Sirry Hussein
P00531,Sachs Ft·eddy,sashs ftedi,,1,1938,1,Sachs Ft·eddy
P00532,Sadik Henein,sadil henein,pasha,17,1938;1942;1947;1950,4,Saddik Henein | Sadik Henein | Sadil< Henein
P00533,SaiwaL Mohamed I>acha,saiual moamed iasha,,1,1938,1,SaiwaL Mohamed I>acha
P00534,Said Khachaba,said khashaba,pasha,1,1938,1,Said Khachaba
P00535,Salama Joseph M,salama gosef,,4,1938;1947,2,Salama Joseph | Salama Joseph M
P00536,Salama Mat•co,salama matko,,2,1938,1,Salama Mat•co
P00537,Salama Salvatore,salama salvator,,29,1938;1942;1947;1950,4,Salama Salvatore
P00538,Salem Comm. Emmanuel,salem kom emanuel,,1,1938,1,Salem Comm. Emmanuel
P00539,Salem Ovadia,salem ovadia,,18,1938;1947;1950,3,Salem Ovadia
P00540,Salvago Michel C,salvago mishel,,40,1938;1942;1947,3,Salvago Michel C
P00541,Samel Mamice,samel mamis,,3,1938,1,Samel Mamice
P00542,Saxby Ch. W,saxbi sh,,4,1938;1950,2,Saxby Ch. H | Saxby Ch. W
P00543,Sayet· Sidney,saiet sidnei,,1,1938,1,Sayet· Sidney
P00544,Scclsi Gr. UH. Lconcllo,sklsi gr uh lkonklo,,1,1938,1,Scclsi Gr. UH. Lconcllo
P00545,Schnsca O,shnska,,1,1938,1,Schnsca O
P00546,Schellcnbet·g Hans,shelknbetg hans,,1,1938,1,Schellcnbet·g Hans
P00547,Scoccimam Silvio N,skoksimam silvio,,1,1938,1,Scoccimam Silvio N
P00548,Scdclil{ Ahmed,skdklil ahmed,bey,2,1938,1,Scdclil{ Ahmed
P00549,Sellas,selas,,1,1938,1,Sellas
P00550,Seoucl,seukl,,1,1938,1,Seoucl
P00551,Shamà Me. André,shama andr,,8,1938;1947;1950,3,Shamà André :\1e | Shamà Me. André
P00552,Slu~~à El!c F,slua elk,,1,1938,1,Slu~~à El!c F
P00553,S~mon,smon,,1,1938,1,S~mon
P00554,Sinadino Aug. Th,sinadino aug th,,5,1938;1950,2,Sinadino Aug. Th
P00555,Singleton Alex. Joseph Nichols,singleton alex gosef nishols,,1,1938,1,Singleton Alex. Joseph Nichols
P00556,Small Walter Madison,smal ualter madison,,1,1938,1,Small Walter Madison
P00557,Smith K. B. Woodd,smith uod,,1,1938,1,Smith K. B. Woodd
P00558,Sofio F,sofio,,2,1938;1947,2,Sofio F | Sofio S
P00559,Soliman Abdel Hamid,soliman abdel hamid,pasha,2,1938,1,Soliman Abdel Hamid
P00560,Soliman Skender,soliman skender,,1,1938,1,Soliman Skender
P00561,Spetscropoulo D,spetskropulo,,1,1938,1,Spetscropoulo D
P00562,Spiliotaki A,spiliotaki,,1,1938,1,Spiliotaki A
P00563,SpiniŒ Pacha Major Général El Férik Sir C. W,spinio pasha magor general ferik sir,,2,1938,1,SpiniŒ Pacha Major Général El Férik Sir C. W
P00564,Stathatos Antoine,stathatos antoin,,1,1938,1,Stathatos Antoine
P00565,Stephanou A,stefanu,,1,1938,1,Stephanou A
P00566,Stevens T. F,stevens,,3,1938,1,Stevens T. F
P00567,Stoffel Arrigo,stofel kom arigo,,3,1938;1950,2,Stoffel Arrigo | Stoffel Comm. Arrigo
P00568,Sti·ange Abner Franl{,stiang abner franl,,2,1938,1,Sti·ange Abner Franl{
P00569,Suarès Gustave,suares gustav,,1,1938,1,Suarès Gustave
P00570,Suarès Léon,suares leon,,2,1938;1942,2,Suarès Léon
P00571,Sm·sock Wladimlr·,smsok uladimlr,,2,1938,1,Sm·sock Wladimlr·
P00572,Tagher Oscar,tagher oskar,,21,1938;1947;1950,3,Tagher Oscar | Tagher Oscar·
P00573,Tagher Philippe Me,tagher filip m,,1,1938,1,Tagher Philippe Me
P00574,Taher Mohamed,taer moamed,pasha,16,1938;1942;1947,3,Taher Mohamed
P00575,Tanrt·ed C. II,tanrted i,,1,1938,1,Tanrt·ed C. II
P00576,Tepeghiosi 1\'ieolas,tepeghiosi ieolas,,1,1938,1,Tepeghiosi 1\'ieolas
P00577,Tel'llynl R,tel linl,,1,1938,1,Tel'llynl R
P00578,Theunis Col. Georges,theunis kol georges,,1,1938,1,Theunis Col. Georges
P00579,Thir·icz PierTe Pollet,thirikz piert polet,,1,1938,1,Thir·icz PierTe Pollet
P00580,Thui\CI' Geor·ges Léonard,thuisi georges leonard,,1,1938,1,Thui\CI' Geor·ges Léonard
P00581,Land Cy,land si,,7,1938,1,Land Cy
P00582,Toulow1ji J,tulugi,,5,1938,1,Toulow1ji J
P00583,Tl·ehal<i Antoine,tleali antoin,,1,1938,1,Tl·ehal<i Antoine
P00584,Trembley Ernesl,tremblei ernesl,,1,1938,1,Trembley Ernesl
P00585,Tomal1,tomal,,1,1938,1,Tomal1
P00586,Tuby Félix,tubi felix,bey,1,1938,1,Tuby Félix
P00587,TulUe James Henry,tulu games henri,,1,1938,1,TulUe James Henry
P00588,Urban Il,urban il,,1,1938,1,Urban Il
P00589,Vais Alessandro,vais alesandro,,1,1938,1,Vais Alessandro
P00590,ValpCt·ga Conte Em·ico San Marlino,valpktga kont emiko san marlino,,1,1938,1,ValpCt·ga Conte Em·ico San Marlino
P00591,Venino Comte Pier· Gaetano,venino komt pier gaetano,,1,1938,1,Venino Comte Pier· Gaetano
P00592,Vcroi Gr. Uff. Giuseppe Pieti·o,vkroi gr uf giusep pietio,,1,1938,1,Vcroi Gr. Uff. Giuseppe Pieti·o
P00593,Vitali Gr·. Uff. Avv. Vittorio Cal'lo,vitali gr uf av vitorio kal lo,,1,1938,1,Vitali Gr·. Uff. Avv. Vittorio Cal'lo
P00594,Vivante AHl 'Cd,vivant ahl kd,,1,1938,1,Vivante AHl 'Cd
P00595,Vogué Mat•quis de,vogu matkuis,,2,1938,1,Vogué Mat•quis de
P00596,Vraila Nicolas,vraila nikolas,,1,1938,1,Vraila Nicolas
P00597,Waeckei·Iin Comm. Osca1·,uaekein kom oska,,2,1938,1,Waeckei·Iin Comm. Osca1·
P00598,Wcdcmeycr Ruppel'l Golclinn,ukdkmeikr rupel golklin,,2,1938,1,Wcdcmeycr Ruppel'l Golclinn
P00599,Wemer W. II,uemer i,,2,1938,1,Wemer W. II
P00600,Williams R. E,uiliams,,4,1938;1942,2,Williams R. E
P00601,Wissa Fahmy Hanna,uisa fahmi hana,bey,4,1938;1942,2,Wissa Fahmy Hanna
P00602,Carrières,karieres,,1,1938,1,Carrières
P00603,Wyle1· E,uil,,2,1938,1,Wyle1· E
P00604,Yamodis Nicolas,iamodis nikolas,,5,1938;1947;1950,3,Yamodis Nicolas
P00605,Yamodis Ph. Captain,iamodis f kaptain,,1,1938,1,Yamodis Ph. Captain
P00606,Yeghen Ahmecl Miclhat,ieghen ahmekl miklhat,pasha,3,1938,1,Yeghen Ahmecl Miclhat
P00607,Yehia Aly Emine,ieia ali emin,pasha,14,1938;1950,2,Yehia Aly Emin | Yehia Aly Emine
P00608,Yol<ana Davis,iolana davis,,2,1938;1947,2,Yokana Davis | Yol<ana Davis
P00609,Zananil'i GcOt·ges l'acha,zananil gkotges asha,,1,1938,1,Zananil'i GcOt·ges l'acha
P00610,ZarHi ThéotiOI'C,zarhi theotioi,,1,1938,1,ZarHi ThéotiOI'C
P00611,Zaycd,zaikd,,1,1938,1,Zaycd
P00612,Syrie-Liban,liban,,2,1938;1950,2,Liban | Syrie-Liban
P00613,France,frans,,1,1938,1,France
